city,state,lat,lon
Agra,Uttar Pradesh,27.172187,78.007819
Ahmedabad,Gujarat,23.022868,72.572522
Allahabad,Uttar Pradesh,25.433826,81.846377
Amritsar,Punjab,31.63294,74.872693
Asansol,West Bengal,23.677213,86.950671
Aurangabad,Maharashtra,19.872343,75.339874
Bangalore,Karnataka,12.96199,77.590416
Bhopal,Madhya Pradesh,23.25109,77.40794
Chennai,Tamil Nadu,13.074278,80.272171
Coimbatore,Tamil Nadu,11.012039,76.961396
Delhi,Delhi NCT,28.639446,77.220937
Dhanbad,Jharkhand,23.794038,86.429271
Durg-Bhilainagar,Chhattisgarh,21.188374,81.284878
Faridabad ,Haryana,28.40186,77.312197
Ghaziabad,Uttar Pradesh,28.662835,77.42729
Gwalior,Madhya Pradesh,26.211624,78.182648
Hyderabad,Telangana,17.374951,78.477385
Indore,Madhya Pradesh,22.718449,75.858002
Jabalpur,Madhya Pradesh,23.178205,79.982483
Jaipur,Rajasthan,26.904738,75.786427
Jamshedpur,Jharkhand,22.801421,86.201861
Jodhpur ,Rajasthan,26.242625,73.025391
Kannur,Kerala,11.872917,75.370619
Kanpur,Uttar Pradesh,26.445005,80.331857
Kochi,Kerala,9.921673,76.26549
Kolkata,West Bengal,22.572646,88.363895
Kollam,Kerala,8.885084,76.593752
Kozhikode,Kerala,11.251761,75.783335
Lucknow,Uttar Pradesh,26.838821,80.942501
Ludhiana,Punjab,30.897086,75.857357
Madurai,Tamil Nadu,9.92102,78.12179
Malappuram,Kerala,11.070957,76.074571
Meerut,Uttar Pradesh,28.981238,77.701017
Mumbai,Maharashtra,19.068493,72.880505
Nagpur,Maharashtra,21.153984,79.084171
Nashik,Maharasthra,19.9975,73.7898
Patna,Bihar,25.598287,85.135144
Pune,Maharasthra,18.521716,73.857118
Raipur ,Chhattisgarh,21.253172,81.629198
Rajkot,Gujarat,22.303894,70.80216
Ranchi,Jharkhand,23.351338,85.307581
Srinagar,Jammu & Kashmir,34.09015,74.799191
Surat,Gujarat,21.17024,72.831061
Thiruvananthapuram,Kerala,8.526786,76.938081
Thrissur,Kerala,10.524207,76.215694
Vadodara,Gujarat,22.307159,73.181219
Varanasi,Uttar Pradesh,25.319427,82.973768
Vasai-Virar City,Maharasthra,19.387647,72.839545
Vijayawada,Andhra Pradesh,16.5062,80.648
Visakhapatnam,Andhra Pradesh,17.675749,83.250835
Thanjavur,Tamil Nadu,10.786999,79.137827
Kasargod,Kerala,12.43867,75.201229
Bhubaneswar,Orissa,20.296059,85.82454
Salem,Tamil Nadu,11.664325,78.146014
Bhatkal,Karnataka,13.997762,74.540469
Chikkamagaluru,Karnataka,13.404507,75.620809
Sambalpur,Orissa,21.466872,83.981166
"Bailur, Udupi",Karnataka,13.282641,74.925992
Kodagu,Karnataka,12.337494,75.806908
Alwar,Rajasthan,27.552991,76.634573
Pavagada,Karnataka,14.1031,77.280742
Burdwan,West Bengal,23.232421,87.861479
Moreh,Manipur,24.251281,94.301304
Porvorim and Ponda,Goa,15.537727,73.831614
Kolar,Karnataka,13.135745,78.132561
Belagavi,Karnataka,15.849695,74.497674
Hoshangabad,Madhya Pradesh,22.744108,77.736967
Kalburgi,Karnataka,17.314739,76.824343
Raichur,Karnataka,16.212003,77.343928
Porbandar,Gujarat,21.641707,69.629265
Chitradurga,Karnataka,14.230559,76.398454
Faridabad,Haryana,28.408912,77.317789
"Dadar, Mumbai",Maharashtra,19.021324,72.842418
Gurugram,Haryana,28.459497,77.026638
Vellore,Tamil Nadu,12.916517,79.132499
Guwahati,Assam,26.144517,91.736237
Kothur,Telangana,17.147351,78.2889
Bikaner,Rajasthan,28.022935,73.311916
Bhilwara,Rajasthan,25.321377,74.586953
Mysuru,Karnataka,12.29581,76.639381
Ramayampet,Telangana,18.115851,78.432562
Bharuch,Gujarat,21.705136,72.995875
Hathigaon,Assam,26.133861,91.780662
Rudrapur,Uttarakhand,28.987508,79.414121
